name,folder,status,duration_seconds
Open Loop PWM,TWIST/Basic/Open-Loop_PWM,failed,0.001
Voltage Mode Buck,TWIST/DC_DC/buck_voltage_mode,success,22.450
Voltage Mode Boost,TWIST/DC_DC/boost_voltage_mode,success,29.509
Current Mode Buck,TWIST/DC_DC/buck_current_mode,success,27.151
Interleaved,TWIST/DC_DC/interleaved,success,29.422
Independent,TWIST/DC_DC/independent,success,36.073
Simple scope example,TWIST/DC_DC/scope_simple_example,success,26.124
Current Ripple Measurement,TWIST/DC_DC/current_ripple_measurement,success,31.024
Grid Following Inverter,TWIST/DC_AC/grid_following,success,26.446
Grid Forming Inverter,TWIST/DC_AC/grid_forming,success,30.934
CAN Communication,TWIST/Communication/CAN,success,35.540
Python Communication Protocol,TWIST/Communication/python_comm_library,failed,4.835
AC client server,TWIST/Microgrid/AC_client_server,success,37.333
AC peer to peer,TWIST/Microgrid/AC_peer_to_peer,success,26.140
DC client server,TWIST/Microgrid/DC_client_server,success,30.684
DC droop,TWIST/Microgrid/DC_droop,success,26.253
BLDC motor with hall sensor,OWNVERTER/BLDC_hall_sensor,success,32.121
Motor control using FOC and hall sensors,OWNVERTER/FOC_hall_sensor,success,27.833
HRTIM triggered ADC,SPIN/ADC/adc_hrtim_trigger,success,33.897
Software triggered ADC,SPIN/ADC/adc_software_trigger,success,29.895
DAC signal generation,SPIN/DAC/signal_generation,success,29.155
Incremental encoder,SPIN/TIMER/incremental_encoder,success,30.085
Blinky LED,SPIN/LED/blinky,success,27.596
Setting Burst Mode PWM,SPIN/PWM/burst_mode,success,32.230
Setting PWM duty cycle,SPIN/PWM/duty_cycle_setting,success,26.401
Setting multiple PWM,SPIN/PWM/multiple_pwm,success,36.588
Setting PWM phase shift,SPIN/PWM/phase_shift,success,30.116
